location_id,name,latitude,longitude,region,split_hint,land_context,source_location_id,land_score
srcens_0001,Source ensemble 0001,-55.000000,-71.250000,americas,validation,coastal_land,grid_0332,0.526342
srcens_0002,Source ensemble 0002,-55.000000,-68.750000,americas,train,coastal_land,grid_0333,0.810727
srcens_0003,Source ensemble 0003,-55.000000,-66.250000,americas,train,near_coast_water_cell,grid_0334,0.293190
srcens_0004,Source ensemble 0004,-52.500000,-73.750000,americas,validation,near_coast_water_cell,grid_0475,0.442648
srcens_0005,Source ensemble 0005,-52.500000,-71.250000,americas,validation,inland_land,grid_0476,0.900573
srcens_0006,Source ensemble 0006,-52.500000,-68.750000,americas,train,near_coast_water_cell,grid_0477,0.205916
srcens_0007,Source ensemble 0007,-50.000000,-73.750000,americas,train,inland_land,grid_0619,0.905934
srcens_0008,Source ensemble 0008,-50.000000,-71.250000,americas,train,inland_land,grid_0620,0.946769
srcens_0009,Source ensemble 0009,-50.000000,-68.750000,americas,train,inland_land,grid_0621,0.844558
srcens_0010,Source ensemble 0010,-47.500000,-73.750000,americas,train,inland_land,grid_0763,0.885936
srcens_0011,Source ensemble 0011,-47.500000,-71.250000,americas,train,inland_land,grid_0764,0.948674
srcens_0012,Source ensemble 0012,-47.500000,-68.750000,americas,train,inland_land,grid_0765,0.949684
srcens_0013,Source ensemble 0013,-47.500000,-66.250000,americas,train,inland_land,grid_0766,0.837341
srcens_0014,Source ensemble 0014,-45.000000,-73.750000,americas,train,coastal_land,grid_0907,0.653143
srcens_0015,Source ensemble 0015,-45.000000,-71.250000,americas,train,inland_land,grid_0908,0.944746
srcens_0016,Source ensemble 0016,-45.000000,-68.750000,americas,train,inland_land,grid_0909,0.949115
srcens_0017,Source ensemble 0017,-45.000000,-66.250000,americas,train,coastal_land,grid_0910,0.676159
srcens_0020,Source ensemble 0020,-42.500000,-73.750000,americas,train,near_coast_water_cell,grid_1051,0.413990
srcens_0021,Source ensemble 0021,-42.500000,-71.250000,americas,train,inland_land,grid_1052,0.949686
srcens_0022,Source ensemble 0022,-42.500000,-68.750000,americas,train,inland_land,grid_1053,0.949969
srcens_0023,Source ensemble 0023,-42.500000,-66.250000,americas,train,inland_land,grid_1054,0.949987
srcens_0024,Source ensemble 0024,-42.500000,-63.750000,americas,train,coastal_land,grid_1055,0.661491
srcens_0028,Source ensemble 0028,-40.000000,-73.750000,americas,train,near_coast_water_cell,grid_1195,0.200304
srcens_0029,Source ensemble 0029,-40.000000,-71.250000,americas,train,inland_land,grid_1196,0.943999
srcens_0030,Source ensemble 0030,-40.000000,-68.750000,americas,train,inland_land,grid_1197,0.948775
srcens_0031,Source ensemble 0031,-40.000000,-66.250000,americas,train,inland_land,grid_1198,0.944869
srcens_0032,Source ensemble 0032,-40.000000,-63.750000,americas,train,inland_land,grid_1199,0.949055
srcens_0035,Source ensemble 0035,-37.500000,-71.250000,americas,train,inland_land,grid_1340,0.947018
srcens_0036,Source ensemble 0036,-37.500000,-68.750000,americas,train,inland_land,grid_1341,0.949577
srcens_0037,Source ensemble 0037,-37.500000,-66.250000,americas,train,inland_land,grid_1342,0.948925
srcens_0038,Source ensemble 0038,-37.500000,-63.750000,americas,train,inland_land,grid_1343,0.963229
srcens_0039,Source ensemble 0039,-37.500000,-61.250000,americas,train,inland_land,grid_1344,0.968678
srcens_0040,Source ensemble 0040,-37.500000,-58.750000,americas,train,inland_land,grid_1345,0.967010
srcens_0046,Source ensemble 0046,-35.000000,-71.250000,americas,train,inland_land,grid_1484,0.950022
srcens_0047,Source ensemble 0047,-35.000000,-68.750000,americas,train,inland_land,grid_1485,0.945900
srcens_0048,Source ensemble 0048,-35.000000,-66.250000,americas,train,inland_land,grid_1486,0.950493
srcens_0049,Source ensemble 0049,-35.000000,-63.750000,americas,train,inland_land,grid_1487,0.962950
srcens_0050,Source ensemble 0050,-35.000000,-61.250000,americas,train,inland_land,grid_1488,0.962097
srcens_0051,Source ensemble 0051,-35.000000,-58.750000,americas,train,inland_land,grid_1489,0.942231
srcens_0061,Source ensemble 0061,-32.500000,-71.250000,americas,train,inland_land,grid_1628,0.837808
srcens_0062,Source ensemble 0062,-32.500000,-68.750000,americas,train,inland_land,grid_1629,0.951476
srcens_0063,Source ensemble 0063,-32.500000,-66.250000,americas,train,inland_land,grid_1630,0.950928
srcens_0064,Source ensemble 0064,-32.500000,-63.750000,americas,train,inland_land,grid_1631,0.969380
srcens_0065,Source ensemble 0065,-32.500000,-61.250000,americas,train,inland_land,grid_1632,0.966525
srcens_0066,Source ensemble 0066,-32.500000,-58.750000,americas,train,inland_land,grid_1633,0.960461
srcens_0067,Source ensemble 0067,-32.500000,-56.250000,americas,train,inland_land,grid_1634,0.936106
srcens_0068,Source ensemble 0068,-32.500000,-53.750000,americas,train,inland_land,grid_1635,0.926674
srcens_0087,Source ensemble 0087,-30.000000,-68.750000,americas,train,inland_land,grid_1773,0.950658
srcens_0088,Source ensemble 0088,-30.000000,-66.250000,americas,train,inland_land,grid_1774,0.949889
srcens_0089,Source ensemble 0089,-30.000000,-63.750000,americas,train,inland_land,grid_1775,0.958963
srcens_0090,Source ensemble 0090,-30.000000,-61.250000,americas,train,inland_land,grid_1776,0.956149
srcens_0091,Source ensemble 0091,-30.000000,-58.750000,americas,train,inland_land,grid_1777,0.953560
srcens_0092,Source ensemble 0092,-30.000000,-56.250000,americas,train,inland_land,grid_1778,0.954596
srcens_0093,Source ensemble 0093,-30.000000,-53.750000,americas,train,inland_land,grid_1779,0.959185
srcens_0094,Source ensemble 0094,-30.000000,-51.250000,americas,train,inland_land,grid_1780,0.897479
srcens_0116,Source ensemble 0116,-27.500000,-68.750000,americas,train,inland_land,grid_1917,0.946662
srcens_0117,Source ensemble 0117,-27.500000,-66.250000,americas,train,inland_land,grid_1918,0.950601
srcens_0118,Source ensemble 0118,-27.500000,-63.750000,americas,train,inland_land,grid_1919,0.950598
srcens_0119,Source ensemble 0119,-27.500000,-61.250000,americas,train,inland_land,grid_1920,0.966712
srcens_0120,Source ensemble 0120,-27.500000,-58.750000,americas,train,inland_land,grid_1921,0.935244
srcens_0121,Source ensemble 0121,-27.500000,-56.250000,americas,train,near_coast,grid_1922,0.889180
