location_id,name,latitude,longitude,region,split_hint,land_context,source_location_id,land_score
srcens_0069,Source ensemble 0069,-32.500000,18.750000,africa_middle_east,train,inland_land,grid_1664,0.912383
srcens_0070,Source ensemble 0070,-32.500000,21.250000,africa_middle_east,train,inland_land,grid_1665,0.949925
srcens_0071,Source ensemble 0071,-32.500000,23.750000,africa_middle_east,train,inland_land,grid_1666,0.950094
srcens_0072,Source ensemble 0072,-32.500000,26.250000,africa_middle_east,train,inland_land,grid_1667,0.952071
srcens_0073,Source ensemble 0073,-32.500000,28.750000,africa_middle_east,train,near_coast_water_cell,grid_1668,0.223171
srcens_0095,Source ensemble 0095,-30.000000,18.750000,africa_middle_east,train,inland_land,grid_1808,0.950450
srcens_0096,Source ensemble 0096,-30.000000,21.250000,africa_middle_east,train,inland_land,grid_1809,0.949924
srcens_0097,Source ensemble 0097,-30.000000,23.750000,africa_middle_east,train,inland_land,grid_1810,0.949779
srcens_0098,Source ensemble 0098,-30.000000,26.250000,africa_middle_east,train,inland_land,grid_1811,0.950743
srcens_0099,Source ensemble 0099,-30.000000,28.750000,africa_middle_east,train,inland_land,grid_1812,0.953990
srcens_0125,Source ensemble 0125,-27.500000,16.250000,africa_middle_east,train,inland_land,grid_1951,0.926414
srcens_0126,Source ensemble 0126,-27.500000,18.750000,africa_middle_east,train,inland_land,grid_1952,0.949972
srcens_0127,Source ensemble 0127,-27.500000,21.250000,africa_middle_east,train,inland_land,grid_1953,0.950000
srcens_0128,Source ensemble 0128,-27.500000,23.750000,africa_middle_east,train,inland_land,grid_1954,0.950698
srcens_0129,Source ensemble 0129,-27.500000,26.250000,africa_middle_east,train,inland_land,grid_1955,0.962864
srcens_0130,Source ensemble 0130,-27.500000,28.750000,africa_middle_east,train,inland_land,grid_1956,0.951490
srcens_0131,Source ensemble 0131,-27.500000,31.250000,africa_middle_east,train,inland_land,grid_1957,0.952290
srcens_0156,Source ensemble 0156,-25.000000,16.250000,africa_middle_east,train,inland_land,grid_2095,0.950000
srcens_0157,Source ensemble 0157,-25.000000,18.750000,africa_middle_east,train,inland_land,grid_2096,0.949998
srcens_0158,Source ensemble 0158,-25.000000,21.250000,africa_middle_east,train,inland_land,grid_2097,0.949996
srcens_0159,Source ensemble 0159,-25.000000,23.750000,africa_middle_east,train,inland_land,grid_2098,0.949988
srcens_0160,Source ensemble 0160,-25.000000,26.250000,africa_middle_east,train,inland_land,grid_2099,0.948251
srcens_0161,Source ensemble 0161,-25.000000,28.750000,africa_middle_east,train,inland_land,grid_2100,0.957216
srcens_0162,Source ensemble 0162,-25.000000,31.250000,africa_middle_east,train,inland_land,grid_2101,0.952166
srcens_0163,Source ensemble 0163,-25.000000,33.750000,africa_middle_east,train,coastal_land,grid_2102,0.777837
srcens_0164,Source ensemble 0164,-25.000000,46.250000,africa_middle_east,train,inland_land,grid_2107,0.869862
srcens_0192,Source ensemble 0192,-22.500000,16.250000,africa_middle_east,train,inland_land,grid_2239,0.949976
srcens_0193,Source ensemble 0193,-22.500000,18.750000,africa_middle_east,train,inland_land,grid_2240,0.950069
srcens_0194,Source ensemble 0194,-22.500000,21.250000,africa_middle_east,train,inland_land,grid_2241,0.950002
srcens_0195,Source ensemble 0195,-22.500000,23.750000,africa_middle_east,train,inland_land,grid_2242,0.950000
srcens_0196,Source ensemble 0196,-22.500000,26.250000,africa_middle_east,train,inland_land,grid_2243,0.950837
srcens_0197,Source ensemble 0197,-22.500000,28.750000,africa_middle_east,train,inland_land,grid_2244,0.951474
srcens_0198,Source ensemble 0198,-22.500000,31.250000,africa_middle_east,train,inland_land,grid_2245,0.946888
srcens_0199,Source ensemble 0199,-22.500000,33.750000,africa_middle_east,train,inland_land,grid_2246,0.950645
srcens_0200,Source ensemble 0200,-22.500000,43.750000,africa_middle_east,train,inland_land,grid_2250,0.889462
srcens_0201,Source ensemble 0201,-22.500000,46.250000,africa_middle_east,train,inland_land,grid_2251,0.950637
srcens_0229,Source ensemble 0229,-20.000000,13.750000,africa_middle_east,train,inland_land,grid_2382,0.924200
srcens_0230,Source ensemble 0230,-20.000000,16.250000,africa_middle_east,train,inland_land,grid_2383,0.950310
srcens_0231,Source ensemble 0231,-20.000000,18.750000,africa_middle_east,train,inland_land,grid_2384,0.950123
srcens_0232,Source ensemble 0232,-20.000000,21.250000,africa_middle_east,train,inland_land,grid_2385,0.950967
srcens_0233,Source ensemble 0233,-20.000000,23.750000,africa_middle_east,train,inland_land,grid_2386,0.952043
srcens_0234,Source ensemble 0234,-20.000000,26.250000,africa_middle_east,train,inland_land,grid_2387,0.952913
srcens_0235,Source ensemble 0235,-20.000000,28.750000,africa_middle_east,train,inland_land,grid_2388,0.953849
srcens_0236,Source ensemble 0236,-20.000000,31.250000,africa_middle_east,train,inland_land,grid_2389,0.962395
srcens_0237,Source ensemble 0237,-20.000000,33.750000,africa_middle_east,train,inland_land,grid_2390,0.950330
srcens_0238,Source ensemble 0238,-20.000000,46.250000,africa_middle_east,train,inland_land,grid_2395,0.949716
srcens_0239,Source ensemble 0239,-20.000000,48.750000,africa_middle_east,train,coastal_land,grid_2396,0.653871
srcens_0265,Source ensemble 0265,-17.500000,13.750000,africa_middle_east,train,inland_land,grid_2526,0.952853
srcens_0266,Source ensemble 0266,-17.500000,16.250000,africa_middle_east,train,inland_land,grid_2527,0.963959
srcens_0267,Source ensemble 0267,-17.500000,18.750000,africa_middle_east,train,inland_land,grid_2528,0.952005
srcens_0268,Source ensemble 0268,-17.500000,21.250000,africa_middle_east,train,inland_land,grid_2529,0.950603
srcens_0269,Source ensemble 0269,-17.500000,23.750000,africa_middle_east,train,inland_land,grid_2530,0.950784
srcens_0270,Source ensemble 0270,-17.500000,26.250000,africa_middle_east,train,inland_land,grid_2531,0.961919
srcens_0271,Source ensemble 0271,-17.500000,28.750000,africa_middle_east,train,inland_land,grid_2532,0.963368
srcens_0272,Source ensemble 0272,-17.500000,31.250000,africa_middle_east,train,inland_land,grid_2533,0.958466
srcens_0273,Source ensemble 0273,-17.500000,33.750000,africa_middle_east,train,inland_land,grid_2534,0.950125
srcens_0274,Source ensemble 0274,-17.500000,36.250000,africa_middle_east,train,inland_land,grid_2535,0.949183
srcens_0275,Source ensemble 0275,-17.500000,43.750000,africa_middle_east,train,near_coast_water_cell,grid_2538,0.090552
srcens_0276,Source ensemble 0276,-17.500000,46.250000,africa_middle_east,train,inland_land,grid_2539,0.949697
srcens_0277,Source ensemble 0277,-17.500000,48.750000,africa_middle_east,train,inland_land,grid_2540,0.934686
srcens_0303,Source ensemble 0303,-15.000000,13.750000,africa_middle_east,train,inland_land,grid_2670,0.968629
srcens_0304,Source ensemble 0304,-15.000000,16.250000,africa_middle_east,train,inland_land,grid_2671,0.950333
srcens_0305,Source ensemble 0305,-15.000000,18.750000,africa_middle_east,train,inland_land,grid_2672,0.950171
srcens_0306,Source ensemble 0306,-15.000000,21.250000,africa_middle_east,train,inland_land,grid_2673,0.951139
srcens_0307,Source ensemble 0307,-15.000000,23.750000,africa_middle_east,train,inland_land,grid_2674,0.959154
srcens_0308,Source ensemble 0308,-15.000000,26.250000,africa_middle_east,train,inland_land,grid_2675,0.948726
srcens_0309,Source ensemble 0309,-15.000000,28.750000,africa_middle_east,train,inland_land,grid_2676,0.954262
srcens_0310,Source ensemble 0310,-15.000000,31.250000,africa_middle_east,train,inland_land,grid_2677,0.948654
srcens_0311,Source ensemble 0311,-15.000000,33.750000,africa_middle_east,train,inland_land,grid_2678,0.952737
srcens_0312,Source ensemble 0312,-15.000000,36.250000,africa_middle_east,train,inland_land,grid_2679,0.953264
srcens_0313,Source ensemble 0313,-15.000000,38.750000,africa_middle_east,train,inland_land,grid_2680,0.955244
srcens_0314,Source ensemble 0314,-15.000000,48.750000,africa_middle_east,train,inland_land,grid_2684,0.950134
srcens_0338,Source ensemble 0338,-12.500000,13.750000,africa_middle_east,train,inland_land,grid_2814,0.884535
srcens_0339,Source ensemble 0339,-12.500000,16.250000,africa_middle_east,train,inland_land,grid_2815,0.951199
srcens_0340,Source ensemble 0340,-12.500000,18.750000,africa_middle_east,train,inland_land,grid_2816,0.950041
srcens_0341,Source ensemble 0341,-12.500000,21.250000,africa_middle_east,train,inland_land,grid_2817,0.949901
srcens_0342,Source ensemble 0342,-12.500000,23.750000,africa_middle_east,train,inland_land,grid_2818,0.950042
srcens_0343,Source ensemble 0343,-12.500000,26.250000,africa_middle_east,train,inland_land,grid_2819,0.950745
srcens_0344,Source ensemble 0344,-12.500000,28.750000,africa_middle_east,train,inland_land,grid_2820,0.949789
srcens_0345,Source ensemble 0345,-12.500000,31.250000,africa_middle_east,train,inland_land,grid_2821,0.951246
srcens_0346,Source ensemble 0346,-12.500000,33.750000,africa_middle_east,train,inland_land,grid_2822,0.951419
srcens_0347,Source ensemble 0347,-12.500000,36.250000,africa_middle_east,train,inland_land,grid_2823,0.951815
srcens_0348,Source ensemble 0348,-12.500000,38.750000,africa_middle_east,train,inland_land,grid_2824,0.949999
srcens_0370,Source ensemble 0370,-10.000000,13.750000,africa_middle_east,train,inland_land,grid_2958,0.884311
srcens_0371,Source ensemble 0371,-10.000000,16.250000,africa_middle_east,train,inland_land,grid_2959,0.948083
srcens_0372,Source ensemble 0372,-10.000000,18.750000,africa_middle_east,train,inland_land,grid_2960,0.950516
srcens_0373,Source ensemble 0373,-10.000000,21.250000,africa_middle_east,train,inland_land,grid_2961,0.950128
srcens_0374,Source ensemble 0374,-10.000000,23.750000,africa_middle_east,train,inland_land,grid_2962,0.949902
srcens_0375,Source ensemble 0375,-10.000000,26.250000,africa_middle_east,train,inland_land,grid_2963,0.950907
srcens_0376,Source ensemble 0376,-10.000000,28.750000,africa_middle_east,train,inland_land,grid_2964,0.944701
srcens_0377,Source ensemble 0377,-10.000000,31.250000,africa_middle_east,train,inland_land,grid_2965,0.957692
srcens_0378,Source ensemble 0378,-10.000000,33.750000,africa_middle_east,train,inland_land,grid_2966,0.945554
srcens_0379,Source ensemble 0379,-10.000000,36.250000,africa_middle_east,train,inland_land,grid_2967,0.949986
srcens_0380,Source ensemble 0380,-10.000000,38.750000,africa_middle_east,train,inland_land,grid_2968,0.956746
srcens_0402,Source ensemble 0402,-7.500000,13.750000,africa_middle_east,train,inland_land,grid_3102,0.937899
srcens_0403,Source ensemble 0403,-7.500000,16.250000,africa_middle_east,train,inland_land,grid_3103,0.949980
srcens_0404,Source ensemble 0404,-7.500000,18.750000,africa_middle_east,train,inland_land,grid_3104,0.950028
srcens_0405,Source ensemble 0405,-7.500000,21.250000,africa_middle_east,train,inland_land,grid_3105,0.949924
srcens_0406,Source ensemble 0406,-7.500000,23.750000,africa_middle_east,train,inland_land,grid_3106,0.951075
srcens_0407,Source ensemble 0407,-7.500000,26.250000,africa_middle_east,train,inland_land,grid_3107,0.949140
srcens_0408,Source ensemble 0408,-7.500000,28.750000,africa_middle_east,train,inland_land,grid_3108,0.953538
srcens_0409,Source ensemble 0409,-7.500000,31.250000,africa_middle_east,train,inland_land,grid_3109,0.955201
srcens_0410,Source ensemble 0410,-7.500000,33.750000,africa_middle_east,train,inland_land,grid_3110,0.950008
srcens_0411,Source ensemble 0411,-7.500000,36.250000,africa_middle_east,train,inland_land,grid_3111,0.953057
srcens_0412,Source ensemble 0412,-7.500000,38.750000,africa_middle_east,train,inland_land,grid_3112,0.930592
srcens_0440,Source ensemble 0440,-5.000000,13.750000,africa_middle_east,train,inland_land,grid_3246,0.958620
srcens_0441,Source ensemble 0441,-5.000000,16.250000,africa_middle_east,train,inland_land,grid_3247,0.950247
