location_id,name,latitude,longitude,region
grid_2824,Global grid 2824,-12.500000,38.750000,global_s_lat19_lon87
grid_4249,Global grid 4249,12.500000,1.250000,global_n_lat29_lon72
grid_1943,Global grid 1943,-27.500000,-3.750000,global_s_lat13_lon70
grid_0903,Global grid 0903,-45.000000,-83.750000,global_s_lat06_lon38
grid_1624,Global grid 1624,-32.500000,-81.250000,global_s_lat11_lon39
grid_4519,Global grid 4519,17.500000,-43.750000,global_n_lat31_lon54
grid_5807,Global grid 5807,40.000000,-63.750000,global_n_lat40_lon46
grid_1514,Global grid 1514,-35.000000,3.750000,global_s_lat10_lon73
grid_4906,Global grid 4906,25.000000,-156.250000,global_n_lat34_lon09
grid_2168,Global grid 2168,-22.500000,-161.250000,global_s_lat15_lon07
grid_6860,Global grid 6860,57.500000,48.750000,global_n_lat47_lon91
grid_3880,Global grid 3880,5.000000,158.750000,global_n_lat26_lon135
grid_1908,Global grid 1908,-27.500000,-91.250000,global_s_lat13_lon35
grid_1706,Global grid 1706,-32.500000,123.750000,global_s_lat11_lon121
grid_0099,Global grid 0099,-60.000000,66.250000,global_s_lat00_lon98
grid_4880,Global grid 4880,22.500000,138.750000,global_n_lat33_lon127
grid_2185,Global grid 2185,-22.500000,-118.750000,global_s_lat15_lon24
grid_2102,Global grid 2102,-25.000000,33.750000,global_s_lat14_lon85
grid_6413,Global grid 6413,50.000000,11.250000,global_n_lat44_lon76
grid_5162,Global grid 5162,27.500000,123.750000,global_n_lat35_lon121
grid_0840,Global grid 0840,-47.500000,118.750000,global_s_lat05_lon119
grid_1259,Global grid 1259,-40.000000,86.250000,global_s_lat08_lon106
grid_0014,Global grid 0014,-60.000000,-146.250000,global_s_lat00_lon13
grid_2964,Global grid 2964,-10.000000,28.750000,global_s_lat20_lon83
grid_4280,Global grid 4280,12.500000,78.750000,global_n_lat29_lon103
grid_2604,Global grid 2604,-15.000000,-151.250000,global_s_lat18_lon11
grid_0592,Global grid 0592,-50.000000,-141.250000,global_s_lat04_lon15
grid_3795,Global grid 3795,5.000000,-53.750000,global_n_lat26_lon50
grid_4472,Global grid 4472,17.500000,-161.250000,global_n_lat31_lon07
grid_4122,Global grid 4122,10.000000,43.750000,global_n_lat28_lon89
grid_6747,Global grid 6747,55.000000,126.250000,global_n_lat46_lon122
grid_6248,Global grid 6248,47.500000,-41.250000,global_n_lat43_lon55
grid_6753,Global grid 6753,55.000000,141.250000,global_n_lat46_lon128
grid_5419,Global grid 5419,32.500000,46.250000,global_n_lat37_lon90
grid_2189,Global grid 2189,-22.500000,-108.750000,global_s_lat15_lon28
grid_0244,Global grid 0244,-57.500000,68.750000,global_s_lat01_lon99
grid_3638,Global grid 3638,2.500000,-86.250000,global_n_lat25_lon37
grid_6043,Global grid 6043,42.500000,166.250000,global_n_lat41_lon138
grid_3027,Global grid 3027,-7.500000,-173.750000,global_s_lat21_lon02
grid_3461,Global grid 3461,0.000000,-168.750000,global_n_lat24_lon04
grid_4159,Global grid 4159,10.000000,136.250000,global_n_lat28_lon126
grid_5981,Global grid 5981,42.500000,11.250000,global_n_lat41_lon76
grid_4923,Global grid 4923,25.000000,-113.750000,global_n_lat34_lon26
grid_0336,Global grid 0336,-55.000000,-61.250000,global_s_lat02_lon47
grid_5482,Global grid 5482,35.000000,-156.250000,global_n_lat38_lon09
grid_1697,Global grid 1697,-32.500000,101.250000,global_s_lat11_lon112
grid_2734,Global grid 2734,-15.000000,173.750000,global_s_lat18_lon141
grid_4343,Global grid 4343,15.000000,-123.750000,global_n_lat30_lon22
grid_6884,Global grid 6884,57.500000,108.750000,global_n_lat47_lon115
grid_6841,Global grid 6841,57.500000,1.250000,global_n_lat47_lon72
grid_3690,Global grid 3690,2.500000,43.750000,global_n_lat25_lon89
grid_3801,Global grid 3801,5.000000,-38.750000,global_n_lat26_lon56
grid_1487,Global grid 1487,-35.000000,-63.750000,global_s_lat10_lon46
grid_2132,Global grid 2132,-25.000000,108.750000,global_s_lat14_lon115
grid_1039,Global grid 1039,-42.500000,-103.750000,global_s_lat07_lon30
grid_5782,Global grid 5782,40.000000,-126.250000,global_n_lat40_lon21
grid_5925,Global grid 5925,42.500000,-128.750000,global_n_lat41_lon20
grid_3257,Global grid 3257,-5.000000,41.250000,global_s_lat22_lon88
grid_1760,Global grid 1760,-30.000000,-101.250000,global_s_lat12_lon31
grid_6116,Global grid 6116,45.000000,-11.250000,global_n_lat42_lon67
grid_3109,Global grid 3109,-7.500000,31.250000,global_s_lat21_lon84
grid_2716,Global grid 2716,-15.000000,128.750000,global_s_lat18_lon123
grid_2610,Global grid 2610,-15.000000,-136.250000,global_s_lat18_lon17
grid_4687,Global grid 4687,20.000000,16.250000,global_n_lat32_lon78
grid_0104,Global grid 0104,-60.000000,78.750000,global_s_lat00_lon103
grid_4801,Global grid 4801,22.500000,-58.750000,global_n_lat33_lon48
grid_5728,Global grid 5728,37.500000,98.750000,global_n_lat39_lon111
grid_0721,Global grid 0721,-47.500000,-178.750000,global_s_lat05_lon00
