location_id,name,latitude,longitude,region,split_hint,land_context,source_location_id,land_score
srcens_0001,Source ensemble 0001,-55.000000,-71.250000,americas,validation,coastal_land,grid_0332,0.526342
srcens_0002,Source ensemble 0002,-55.000000,-68.750000,americas,train,coastal_land,grid_0333,0.810727
srcens_0003,Source ensemble 0003,-55.000000,-66.250000,americas,train,near_coast_water_cell,grid_0334,0.293190
srcens_0004,Source ensemble 0004,-52.500000,-73.750000,americas,validation,near_coast_water_cell,grid_0475,0.442648
srcens_0005,Source ensemble 0005,-52.500000,-71.250000,americas,validation,inland_land,grid_0476,0.900573
srcens_0006,Source ensemble 0006,-52.500000,-68.750000,americas,train,near_coast_water_cell,grid_0477,0.205916
srcens_0007,Source ensemble 0007,-50.000000,-73.750000,americas,train,inland_land,grid_0619,0.905934
srcens_0008,Source ensemble 0008,-50.000000,-71.250000,americas,train,inland_land,grid_0620,0.946769
srcens_0009,Source ensemble 0009,-50.000000,-68.750000,americas,train,inland_land,grid_0621,0.844558
srcens_0010,Source ensemble 0010,-47.500000,-73.750000,americas,train,inland_land,grid_0763,0.885936
srcens_0011,Source ensemble 0011,-47.500000,-71.250000,americas,train,inland_land,grid_0764,0.948674
srcens_0012,Source ensemble 0012,-47.500000,-68.750000,americas,train,inland_land,grid_0765,0.949684
srcens_0013,Source ensemble 0013,-47.500000,-66.250000,americas,train,inland_land,grid_0766,0.837341
srcens_0014,Source ensemble 0014,-45.000000,-73.750000,americas,train,coastal_land,grid_0907,0.653143
srcens_0015,Source ensemble 0015,-45.000000,-71.250000,americas,train,inland_land,grid_0908,0.944746
srcens_0016,Source ensemble 0016,-45.000000,-68.750000,americas,train,inland_land,grid_0909,0.949115
srcens_0017,Source ensemble 0017,-45.000000,-66.250000,americas,train,coastal_land,grid_0910,0.676159
srcens_0018,Source ensemble 0018,-45.000000,168.750000,oceania_south_asia,train,inland_land,grid_1004,0.933825
srcens_0019,Source ensemble 0019,-45.000000,171.250000,oceania_south_asia,train,near_coast_water_cell,grid_1005,0.182328
srcens_0020,Source ensemble 0020,-42.500000,-73.750000,americas,train,near_coast_water_cell,grid_1051,0.413990
srcens_0021,Source ensemble 0021,-42.500000,-71.250000,americas,train,inland_land,grid_1052,0.949686
srcens_0022,Source ensemble 0022,-42.500000,-68.750000,americas,train,inland_land,grid_1053,0.949969
srcens_0023,Source ensemble 0023,-42.500000,-66.250000,americas,train,inland_land,grid_1054,0.949987
srcens_0024,Source ensemble 0024,-42.500000,-63.750000,americas,train,coastal_land,grid_1055,0.661491
srcens_0025,Source ensemble 0025,-42.500000,146.250000,oceania_south_asia,train,inland_land,grid_1139,0.917337
srcens_0026,Source ensemble 0026,-42.500000,171.250000,oceania_south_asia,train,coastal_land,grid_1149,0.716141
srcens_0027,Source ensemble 0027,-42.500000,173.750000,oceania_south_asia,train,near_coast_water_cell,grid_1150,0.181989
srcens_0028,Source ensemble 0028,-40.000000,-73.750000,americas,train,near_coast_water_cell,grid_1195,0.200304
srcens_0029,Source ensemble 0029,-40.000000,-71.250000,americas,train,inland_land,grid_1196,0.943999
srcens_0030,Source ensemble 0030,-40.000000,-68.750000,americas,train,inland_land,grid_1197,0.948775
srcens_0031,Source ensemble 0031,-40.000000,-66.250000,americas,train,inland_land,grid_1198,0.944869
srcens_0032,Source ensemble 0032,-40.000000,-63.750000,americas,train,inland_land,grid_1199,0.949055
srcens_0033,Source ensemble 0033,-40.000000,143.750000,oceania_south_asia,train,land_candidate,grid_1282,0.104350
srcens_0034,Source ensemble 0034,-40.000000,176.250000,oceania_south_asia,test,inland_land,grid_1295,0.891540
srcens_0035,Source ensemble 0035,-37.500000,-71.250000,americas,train,inland_land,grid_1340,0.947018
srcens_0036,Source ensemble 0036,-37.500000,-68.750000,americas,train,inland_land,grid_1341,0.949577
srcens_0037,Source ensemble 0037,-37.500000,-66.250000,americas,train,inland_land,grid_1342,0.948925
srcens_0038,Source ensemble 0038,-37.500000,-63.750000,americas,train,inland_land,grid_1343,0.963229
srcens_0039,Source ensemble 0039,-37.500000,-61.250000,americas,train,inland_land,grid_1344,0.968678
srcens_0040,Source ensemble 0040,-37.500000,-58.750000,americas,train,inland_land,grid_1345,0.967010
srcens_0041,Source ensemble 0041,-37.500000,141.250000,oceania_south_asia,train,inland_land,grid_1425,0.930273
srcens_0042,Source ensemble 0042,-37.500000,143.750000,oceania_south_asia,train,inland_land,grid_1426,0.957583
srcens_0043,Source ensemble 0043,-37.500000,146.250000,oceania_south_asia,train,inland_land,grid_1427,0.949837
srcens_0044,Source ensemble 0044,-37.500000,148.750000,oceania_south_asia,train,inland_land,grid_1428,0.875869
srcens_0045,Source ensemble 0045,-37.500000,176.250000,oceania_south_asia,test,near_coast_water_cell,grid_1439,0.171501
srcens_0046,Source ensemble 0046,-35.000000,-71.250000,americas,train,inland_land,grid_1484,0.950022
srcens_0047,Source ensemble 0047,-35.000000,-68.750000,americas,train,inland_land,grid_1485,0.945900
srcens_0048,Source ensemble 0048,-35.000000,-66.250000,americas,train,inland_land,grid_1486,0.950493
srcens_0049,Source ensemble 0049,-35.000000,-63.750000,americas,train,inland_land,grid_1487,0.962950
srcens_0050,Source ensemble 0050,-35.000000,-61.250000,americas,train,inland_land,grid_1488,0.962097
srcens_0051,Source ensemble 0051,-35.000000,-58.750000,americas,train,inland_land,grid_1489,0.942231
srcens_0052,Source ensemble 0052,-35.000000,116.250000,oceania_south_asia,train,near_coast_water_cell,grid_1559,0.190256
srcens_0054,Source ensemble 0054,-35.000000,136.250000,oceania_south_asia,train,near_coast_water_cell,grid_1567,0.063553
srcens_0055,Source ensemble 0055,-35.000000,138.750000,oceania_south_asia,train,inland_land,grid_1568,0.873952
srcens_0056,Source ensemble 0056,-35.000000,141.250000,oceania_south_asia,train,inland_land,grid_1569,0.957009
srcens_0057,Source ensemble 0057,-35.000000,143.750000,oceania_south_asia,train,inland_land,grid_1570,0.962358
srcens_0058,Source ensemble 0058,-35.000000,146.250000,oceania_south_asia,train,inland_land,grid_1571,0.967600
srcens_0059,Source ensemble 0059,-35.000000,148.750000,oceania_south_asia,train,inland_land,grid_1572,0.959548
