location_id,name,latitude,longitude,region,split_hint,land_context,source_location_id,land_score
srcens_0051,Source ensemble 0051,-35.000000,-58.750000,americas,train,inland_land,grid_1489,0.942231
srcens_0066,Source ensemble 0066,-32.500000,-58.750000,americas,train,inland_land,grid_1633,0.960461
srcens_0067,Source ensemble 0067,-32.500000,-56.250000,americas,train,inland_land,grid_1634,0.936106
srcens_0068,Source ensemble 0068,-32.500000,-53.750000,americas,train,inland_land,grid_1635,0.926674
srcens_0069,Source ensemble 0069,-32.500000,18.750000,africa_middle_east,train,inland_land,grid_1664,0.912383
srcens_0070,Source ensemble 0070,-32.500000,21.250000,africa_middle_east,train,inland_land,grid_1665,0.949925
srcens_0071,Source ensemble 0071,-32.500000,23.750000,africa_middle_east,train,inland_land,grid_1666,0.950094
srcens_0072,Source ensemble 0072,-32.500000,26.250000,africa_middle_east,train,inland_land,grid_1667,0.952071
srcens_0073,Source ensemble 0073,-32.500000,28.750000,africa_middle_east,train,near_coast_water_cell,grid_1668,0.223171
srcens_0090,Source ensemble 0090,-30.000000,-61.250000,americas,train,inland_land,grid_1776,0.956149
srcens_0091,Source ensemble 0091,-30.000000,-58.750000,americas,train,inland_land,grid_1777,0.953560
srcens_0092,Source ensemble 0092,-30.000000,-56.250000,americas,train,inland_land,grid_1778,0.954596
srcens_0093,Source ensemble 0093,-30.000000,-53.750000,americas,train,inland_land,grid_1779,0.959185
srcens_0094,Source ensemble 0094,-30.000000,-51.250000,americas,train,inland_land,grid_1780,0.897479
srcens_0095,Source ensemble 0095,-30.000000,18.750000,africa_middle_east,train,inland_land,grid_1808,0.950450
srcens_0096,Source ensemble 0096,-30.000000,21.250000,africa_middle_east,train,inland_land,grid_1809,0.949924
srcens_0097,Source ensemble 0097,-30.000000,23.750000,africa_middle_east,train,inland_land,grid_1810,0.949779
srcens_0098,Source ensemble 0098,-30.000000,26.250000,africa_middle_east,train,inland_land,grid_1811,0.950743
srcens_0099,Source ensemble 0099,-30.000000,28.750000,africa_middle_east,train,inland_land,grid_1812,0.953990
srcens_0119,Source ensemble 0119,-27.500000,-61.250000,americas,train,inland_land,grid_1920,0.966712
srcens_0120,Source ensemble 0120,-27.500000,-58.750000,americas,train,inland_land,grid_1921,0.935244
srcens_0121,Source ensemble 0121,-27.500000,-56.250000,americas,train,near_coast,grid_1922,0.889180
srcens_0122,Source ensemble 0122,-27.500000,-53.750000,americas,train,inland_land,grid_1923,0.961341
srcens_0123,Source ensemble 0123,-27.500000,-51.250000,americas,train,inland_land,grid_1924,0.956682
srcens_0124,Source ensemble 0124,-27.500000,-48.750000,americas,train,inland_land,grid_1925,0.808414
srcens_0125,Source ensemble 0125,-27.500000,16.250000,africa_middle_east,train,inland_land,grid_1951,0.926414
srcens_0126,Source ensemble 0126,-27.500000,18.750000,africa_middle_east,train,inland_land,grid_1952,0.949972
srcens_0127,Source ensemble 0127,-27.500000,21.250000,africa_middle_east,train,inland_land,grid_1953,0.950000
srcens_0128,Source ensemble 0128,-27.500000,23.750000,africa_middle_east,train,inland_land,grid_1954,0.950698
srcens_0129,Source ensemble 0129,-27.500000,26.250000,africa_middle_east,train,inland_land,grid_1955,0.962864
srcens_0130,Source ensemble 0130,-27.500000,28.750000,africa_middle_east,train,inland_land,grid_1956,0.951490
srcens_0131,Source ensemble 0131,-27.500000,31.250000,africa_middle_east,train,inland_land,grid_1957,0.952290
srcens_0149,Source ensemble 0149,-25.000000,-63.750000,americas,train,inland_land,grid_2063,0.958614
srcens_0150,Source ensemble 0150,-25.000000,-61.250000,americas,train,inland_land,grid_2064,0.950096
srcens_0151,Source ensemble 0151,-25.000000,-58.750000,americas,train,inland_land,grid_2065,0.950358
srcens_0152,Source ensemble 0152,-25.000000,-56.250000,americas,train,inland_land,grid_2066,0.956692
srcens_0153,Source ensemble 0153,-25.000000,-53.750000,americas,train,inland_land,grid_2067,0.960487
srcens_0154,Source ensemble 0154,-25.000000,-51.250000,americas,train,inland_land,grid_2068,0.952932
srcens_0155,Source ensemble 0155,-25.000000,-48.750000,americas,train,inland_land,grid_2069,0.923225
srcens_0156,Source ensemble 0156,-25.000000,16.250000,africa_middle_east,train,inland_land,grid_2095,0.950000
srcens_0157,Source ensemble 0157,-25.000000,18.750000,africa_middle_east,train,inland_land,grid_2096,0.949998
srcens_0158,Source ensemble 0158,-25.000000,21.250000,africa_middle_east,train,inland_land,grid_2097,0.949996
srcens_0159,Source ensemble 0159,-25.000000,23.750000,africa_middle_east,train,inland_land,grid_2098,0.949988
srcens_0160,Source ensemble 0160,-25.000000,26.250000,africa_middle_east,train,inland_land,grid_2099,0.948251
srcens_0161,Source ensemble 0161,-25.000000,28.750000,africa_middle_east,train,inland_land,grid_2100,0.957216
srcens_0162,Source ensemble 0162,-25.000000,31.250000,africa_middle_east,train,inland_land,grid_2101,0.952166
srcens_0163,Source ensemble 0163,-25.000000,33.750000,africa_middle_east,train,coastal_land,grid_2102,0.777837
srcens_0164,Source ensemble 0164,-25.000000,46.250000,africa_middle_east,train,inland_land,grid_2107,0.869862
srcens_0183,Source ensemble 0183,-22.500000,-63.750000,americas,train,inland_land,grid_2207,0.956667
srcens_0184,Source ensemble 0184,-22.500000,-61.250000,americas,train,inland_land,grid_2208,0.954423
srcens_0185,Source ensemble 0185,-22.500000,-58.750000,americas,train,inland_land,grid_2209,0.950835
srcens_0186,Source ensemble 0186,-22.500000,-56.250000,americas,train,inland_land,grid_2210,0.955095
srcens_0187,Source ensemble 0187,-22.500000,-53.750000,americas,train,inland_land,grid_2211,0.964065
srcens_0188,Source ensemble 0188,-22.500000,-51.250000,americas,train,inland_land,grid_2212,0.958028
srcens_0189,Source ensemble 0189,-22.500000,-48.750000,americas,train,inland_land,grid_2213,0.961511
srcens_0190,Source ensemble 0190,-22.500000,-46.250000,americas,train,inland_land,grid_2214,0.962848
srcens_0191,Source ensemble 0191,-22.500000,-43.750000,americas,train,inland_land,grid_2215,0.911502
srcens_0192,Source ensemble 0192,-22.500000,16.250000,africa_middle_east,train,inland_land,grid_2239,0.949976
srcens_0193,Source ensemble 0193,-22.500000,18.750000,africa_middle_east,train,inland_land,grid_2240,0.950069
srcens_0194,Source ensemble 0194,-22.500000,21.250000,africa_middle_east,train,inland_land,grid_2241,0.950002
srcens_0195,Source ensemble 0195,-22.500000,23.750000,africa_middle_east,train,inland_land,grid_2242,0.950000
srcens_0196,Source ensemble 0196,-22.500000,26.250000,africa_middle_east,train,inland_land,grid_2243,0.950837
srcens_0197,Source ensemble 0197,-22.500000,28.750000,africa_middle_east,train,inland_land,grid_2244,0.951474
srcens_0198,Source ensemble 0198,-22.500000,31.250000,africa_middle_east,train,inland_land,grid_2245,0.946888
srcens_0199,Source ensemble 0199,-22.500000,33.750000,africa_middle_east,train,inland_land,grid_2246,0.950645
srcens_0200,Source ensemble 0200,-22.500000,43.750000,africa_middle_east,train,inland_land,grid_2250,0.889462
srcens_0201,Source ensemble 0201,-22.500000,46.250000,africa_middle_east,train,inland_land,grid_2251,0.950637
srcens_0219,Source ensemble 0219,-20.000000,-63.750000,americas,train,inland_land,grid_2351,0.952043
srcens_0220,Source ensemble 0220,-20.000000,-61.250000,americas,train,inland_land,grid_2352,0.950188
srcens_0221,Source ensemble 0221,-20.000000,-58.750000,americas,train,inland_land,grid_2353,0.952794
srcens_0222,Source ensemble 0222,-20.000000,-56.250000,americas,train,inland_land,grid_2354,0.953059
srcens_0223,Source ensemble 0223,-20.000000,-53.750000,americas,train,inland_land,grid_2355,0.963708
srcens_0224,Source ensemble 0224,-20.000000,-51.250000,americas,train,inland_land,grid_2356,0.961026
srcens_0225,Source ensemble 0225,-20.000000,-48.750000,americas,test,inland_land,grid_2357,0.959793
srcens_0226,Source ensemble 0226,-20.000000,-46.250000,americas,test,inland_land,grid_2358,0.961150
srcens_0227,Source ensemble 0227,-20.000000,-43.750000,americas,test,inland_land,grid_2359,0.952524
srcens_0228,Source ensemble 0228,-20.000000,-41.250000,americas,test,inland_land,grid_2360,0.951920
srcens_0229,Source ensemble 0229,-20.000000,13.750000,africa_middle_east,train,inland_land,grid_2382,0.924200
srcens_0230,Source ensemble 0230,-20.000000,16.250000,africa_middle_east,train,inland_land,grid_2383,0.950310
srcens_0231,Source ensemble 0231,-20.000000,18.750000,africa_middle_east,train,inland_land,grid_2384,0.950123
srcens_0232,Source ensemble 0232,-20.000000,21.250000,africa_middle_east,train,inland_land,grid_2385,0.950967
srcens_0233,Source ensemble 0233,-20.000000,23.750000,africa_middle_east,train,inland_land,grid_2386,0.952043
srcens_0234,Source ensemble 0234,-20.000000,26.250000,africa_middle_east,train,inland_land,grid_2387,0.952913
srcens_0235,Source ensemble 0235,-20.000000,28.750000,africa_middle_east,train,inland_land,grid_2388,0.953849
srcens_0236,Source ensemble 0236,-20.000000,31.250000,africa_middle_east,train,inland_land,grid_2389,0.962395
srcens_0237,Source ensemble 0237,-20.000000,33.750000,africa_middle_east,train,inland_land,grid_2390,0.950330
srcens_0238,Source ensemble 0238,-20.000000,46.250000,africa_middle_east,train,inland_land,grid_2395,0.949716
srcens_0239,Source ensemble 0239,-20.000000,48.750000,africa_middle_east,train,coastal_land,grid_2396,0.653871
srcens_0255,Source ensemble 0255,-17.500000,-63.750000,americas,train,inland_land,grid_2495,0.958530
srcens_0256,Source ensemble 0256,-17.500000,-61.250000,americas,train,inland_land,grid_2496,0.948728
srcens_0257,Source ensemble 0257,-17.500000,-58.750000,americas,train,inland_land,grid_2497,0.949275
srcens_0258,Source ensemble 0258,-17.500000,-56.250000,americas,train,inland_land,grid_2498,0.949301
srcens_0259,Source ensemble 0259,-17.500000,-53.750000,americas,train,inland_land,grid_2499,0.956722
srcens_0260,Source ensemble 0260,-17.500000,-51.250000,americas,train,inland_land,grid_2500,0.968366
srcens_0261,Source ensemble 0261,-17.500000,-48.750000,americas,test,inland_land,grid_2501,0.967370
srcens_0262,Source ensemble 0262,-17.500000,-46.250000,americas,test,inland_land,grid_2502,0.961014
srcens_0263,Source ensemble 0263,-17.500000,-43.750000,americas,test,inland_land,grid_2503,0.952842
srcens_0264,Source ensemble 0264,-17.500000,-41.250000,americas,test,inland_land,grid_2504,0.952299
srcens_0265,Source ensemble 0265,-17.500000,13.750000,africa_middle_east,train,inland_land,grid_2526,0.952853
srcens_0266,Source ensemble 0266,-17.500000,16.250000,africa_middle_east,train,inland_land,grid_2527,0.963959
srcens_0267,Source ensemble 0267,-17.500000,18.750000,africa_middle_east,train,inland_land,grid_2528,0.952005
srcens_0268,Source ensemble 0268,-17.500000,21.250000,africa_middle_east,train,inland_land,grid_2529,0.950603
srcens_0269,Source ensemble 0269,-17.500000,23.750000,africa_middle_east,train,inland_land,grid_2530,0.950784
srcens_0270,Source ensemble 0270,-17.500000,26.250000,africa_middle_east,train,inland_land,grid_2531,0.961919
srcens_0271,Source ensemble 0271,-17.500000,28.750000,africa_middle_east,train,inland_land,grid_2532,0.963368
srcens_0272,Source ensemble 0272,-17.500000,31.250000,africa_middle_east,train,inland_land,grid_2533,0.958466
